#,Bid Number,RA Number,Items / Categories,Department / Ministry,Start Date,End Date,Opening Date,Quantity,Tender Status,G.M. DALUI Status,G.M. DALUI Rank,G.M. DALUI Price,L1 Seller,L1 Price,L1-L2 Diff %,User Remark,Orders PDF Link,Attached Files
131,"GEM/2025/B/5820906","N/A","BID DETAILS","","15-01-2025 10:56:46","05-02-2025 09:00:00","05-02-2025 09:30:00","222","Pending","Qualified","N/A","N/A","N/A","N/A","N/A","","",""
132,"GEM/2025/B/5817306","N/A","BID DETAILS","","15-01-2025 16:03:35","25-01-2025 17:00:00","25-01-2025 17:30:00","77","Pending","Disqualified","N/A","N/A","N/A","N/A","0.13%","","",""
133,"GEM/2025/B/5807573","N/A","BID DETAILS","","10-01-2025 17:52:03","07-02-2025 15:00:00","07-02-2025 15:30:00","8","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
134,"GEM/2025/B/5804891","N/A","BID DETAILS","","10-01-2025 17:52:03","31-01-2025 15:00:00","31-01-2025 15:30:00","10","Pending","L1 Won","L1","53812.72","N/A","N/A","0.91%","","",""
135,"GEM/2025/B/5800219","N/A","BID DETAILS","","09-01-2025 16:40:01","23-01-2025 15:00:00","23-01-2025 15:30:00","7","Pending","Qualified","N/A","N/A","N/A","N/A","N/A","","",""
136,"GEM/2025/B/5790369","N/A","BID DETAILS","","07-01-2025 12:46:28","24-01-2025 17:00:00","24-01-2025 17:30:00","3","Pending","Not Participated","N/A","N/A","N/A","N/A","3.19%","","",""
137,"GEM/2025/B/5786435","GEM/2025/R/481799","BID DETAILS","","09-01-2025 15:34:26","20-02-2025 17:00:00","20-02-2025 17:30:00","95","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
138,"GEM/2024/B/5764896","N/A","BID DETAILS","","31-12-2024 09:57:36","20-01-2025 16:00:00","20-01-2025 16:30:00","18","Pending","Qualified","L4","93559.84","N/A","N/A","42.88%","","",""
139,"GEM/2024/B/5673347","N/A","BID DETAILS","","07-12-2024 09:52:03","06-01-2025 19:00:00","06-01-2025 19:30:00","132","Pending","Not Participated","N/A","N/A","N/A","N/A","134.91%","","",""
140,"GEM/2024/B/5671218","N/A","BID DETAILS","","06-12-2024 16:50:23","09-01-2025 15:00:00","09-01-2025 15:30:00","185","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
141,"GEM/2024/B/5669357","N/A","BID DETAILS","","06-12-2024 17:05:39","27-12-2024 15:00:00","27-12-2024 15:30:00","85","Pending","Disqualified","N/A","N/A","N/A","N/A","2.23%","","",""
142,"GEM/2024/B/5666781","N/A","BID DETAILS","","06-12-2024 09:00:27","16-12-2024 09:00:00","16-12-2024 09:30:00","64","Pending","Disqualified","N/A","N/A","N/A","N/A","N/A","","",""
143,"GEM/2024/B/5665338","N/A","BID DETAILS","","05-12-2024 16:56:25","26-12-2024 17:00:00","26-12-2024 17:30:00","290","Pending","Qualified","N/A","N/A","N/A","N/A","N/A","","",""
144,"GEM/2024/B/5658377","N/A","BID DETAILS","","27-11-2024 16:47:59","10-12-2024 17:00:00","10-12-2024 17:30:00","49","Pending","Qualified","N/A","N/A","N/A","N/A","N/A","","",""
145,"GEM/2024/B/5656255","N/A","BID DETAILS","","28-11-2024 14:45:18","19-12-2024 15:00:00","19-12-2024 15:30:00","14","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
146,"GEM/2024/B/5633390","N/A","BID DETAILS","","25-11-2024 13:13:26","10-12-2024 14:00:00","10-12-2024 14:30:00","3","Pending","Disqualified","N/A","N/A","N/A","N/A","0.36%","","",""
147,"GEM/2024/B/5624801","N/A","BID DETAILS","","19-11-2024 17:06:02","09-12-2024 14:00:00","02-12-2024 15:30:00","23","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
148,"GEM/2024/B/5624554","N/A","BID DETAILS","","19-11-2024 16:38:00","18-12-2024 13:00:00","18-12-2024 13:30:00","1","Pending","Not Participated","N/A","N/A","N/A","N/A","0.11%","","",""
149,"GEM/2024/B/5619843","N/A","BID DETAILS","","19-11-2024 16:15:01","10-12-2024 16:00:00","10-12-2024 16:30:00","80","Pending","Qualified","L2","552726.16","N/A","N/A","77.14%","","",""
150,"GEM/2024/B/5588518","N/A","BID DETAILS","","08-11-2024 15:54:32","23-11-2024 16:00:00","23-11-2024 16:30:00","1","Pending","L1 Won","L1","8420.48","N/A","N/A","78.14%","","",""
151,"GEM/2024/B/5571913","GEM/2025/R/509945","BID DETAILS","","08-11-2024 09:24:34","16-12-2024 18:00:00","16-12-2024 18:30:00","328","Pending","L1 Won","L1","N/A","N/A","N/A","N/A","","",""
152,"GEM/2024/B/5538173","GEM/2025/R/444381","BID DETAILS","","29-10-2024 10:44:44","26-11-2024 11:00:00","26-11-2024 11:30:00","154","Pending","Qualified","N/A","N/A","N/A","N/A","N/A","","",""
153,"GEM/2024/B/5443022","N/A","BID DETAILS","","26-09-2024 13:13:42","14-10-2024 13:00:00","14-10-2024 13:30:00","3","Pending","L1 Won","L1","198788.7","N/A","N/A","101.23%","","",""
154,"GEM/2024/B/5403265","N/A","BID DETAILS","","16-09-2024 11:11:29","26-09-2024 12:00:00","26-09-2024 12:30:00","2","Pending","Not Participated","N/A","N/A","N/A","N/A","22.66%","","",""
155,"GEM/2024/B/5401637","N/A","BID DETAILS","","14-09-2024 17:11:25","24-09-2024 18:00:00","24-09-2024 18:30:00","14","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
156,"GEM/2024/B/5400468","N/A","BID DETAILS","","14-09-2024 17:00:40","08-10-2024 15:00:00","08-10-2024 15:30:00","30","Pending","L1 Won","L1","N/A","N/A","N/A","N/A","","",""
157,"GEM/2024/B/5375665","N/A","BID DETAILS","","11-09-2024 15:49:56","03-10-2024 16:00:00","03-10-2024 16:30:00","2","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
158,"GEM/2024/B/5373828","N/A","BID DETAILS","","08-09-2024 16:24:50","18-09-2024 17:00:00","18-09-2024 17:30:00","209","Pending","Not Participated","N/A","N/A","N/A","N/A","14.68%","","",""
159,"GEM/2024/B/5370906","N/A","BID DETAILS","","12-09-2024 17:09:43","03-10-2024 14:00:00","03-10-2024 14:30:00","4","Pending","Disqualified","N/A","N/A","N/A","N/A","N/A","","",""
160,"GEM/2024/B/5369093","N/A","BID DETAILS","","06-09-2024 12:16:44","16-09-2024 13:00:00","16-09-2024 13:30:00","65","Pending","Qualified","L3","530032.4","N/A","N/A","11.42%","","",""
161,"GEM/2024/B/5362444","N/A","BID DETAILS","","13-09-2024 10:32:56","05-10-2024 09:00:00","05-10-2024 09:30:00","30","Pending","Qualified","N/A","N/A","N/A","N/A","N/A","","",""
162,"GEM/2024/B/5349255","GEM/2024/R/384931","BID DETAILS","","02-09-2024 09:57:51","12-09-2024 13:00:00","12-09-2024 13:30:00","52","Pending","Qualified","N/A","N/A","N/A","N/A","N/A","","",""
163,"GEM/2024/B/5346045","N/A","BID DETAILS","","03-09-2024 18:02:54","25-11-2024 11:00:00","25-11-2024 11:30:00","20","Pending","Not Participated","N/A","N/A","N/A","N/A","3.36%","","",""
164,"GEM/2024/B/5304795","GEM/2025/R/463385","BID DETAILS","","22-08-2024 17:23:14","16-09-2024 10:00:00","16-09-2024 10:30:00","30","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
165,"GEM/2024/B/5289187","N/A","BID DETAILS","","14-08-2024 17:30:19","26-08-2024 14:00:00","26-08-2024 14:30:00","70","Pending","Qualified","N/A","N/A","N/A","N/A","N/A","","",""
166,"GEM/2024/B/5270947","N/A","BID DETAILS","","09-08-2024 11:43:59","19-08-2024 13:00:00","19-08-2024 13:30:00","1","Pending","Not Participated","N/A","N/A","N/A","N/A","16.53%","","",""
167,"GEM/2024/B/5246742","N/A","BID DETAILS","","03-08-2024 16:12:32","21-08-2024 15:00:00","21-08-2024 15:30:00","10","Pending","Not Participated","N/A","N/A","N/A","N/A","20.18%","","",""
168,"GEM/2024/B/5246076","GEM/2025/R/534887","BID DETAILS","","05-08-2024 10:29:54","27-08-2024 11:00:00","26-08-2024 11:30:00","17","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
169,"GEM/2024/B/5233171","GEM/2025/R/480997","BID DETAILS","","07-08-2024 15:19:22","07-09-2024 15:00:00","07-09-2024 15:30:00","8","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
170,"GEM/2024/B/5229474","N/A","BID DETAILS","","31-07-2024 11:22:47","21-08-2024 12:00:00","21-08-2024 12:30:00","47","Pending","Qualified","N/A","N/A","N/A","N/A","N/A","","",""
171,"GEM/2024/B/5175068","N/A","BID DETAILS","","24-07-2024 08:32:33","14-08-2024 14:00:00","14-08-2024 14:30:00","11","Pending","Qualified","N/A","N/A","N/A","N/A","N/A","","",""
172,"GEM/2024/B/5161430","N/A","BID DETAILS","","17-07-2024 18:23:38","07-08-2024 14:00:00","07-08-2024 14:30:00","1","Pending","Not Participated","N/A","N/A","N/A","N/A","163.15%","","",""
173,"GEM/2024/B/5159432","N/A","BID DETAILS","","13-07-2024 17:12:02","10-08-2024 15:00:00","10-08-2024 15:30:00","36","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
174,"GEM/2024/B/5157917","N/A","BID DETAILS","","15-07-2024 18:09:33","02-08-2024 15:00:00","02-08-2024 15:30:00","173","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
175,"GEM/2024/B/5157062","GEM/2025/R/432325","BID DETAILS","","13-07-2024 15:53:51","23-07-2024 18:00:00","23-07-2024 18:30:00","147","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
176,"GEM/2024/B/5151138","N/A","BID DETAILS","","15-07-2024 16:27:29","05-08-2024 15:00:00","05-08-2024 15:30:00","60","Pending","Qualified","N/A","N/A","N/A","N/A","N/A","","",""
177,"GEM/2024/B/5122348","GEM/2024/R/386850","BID DETAILS","","04-07-2024 16:27:33","25-07-2024 17:00:00","25-07-2024 17:30:00","50","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
178,"GEM/2024/B/5096504","N/A","BID DETAILS","","26-06-2024 17:42:54","19-07-2024 14:00:00","19-07-2024 14:30:00","2","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
179,"GEM/2024/B/5090721","N/A","BID DETAILS","","25-06-2024 16:18:00","15-07-2024 12:00:00","15-07-2024 12:30:00","3","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
180,"GEM/2024/B/5074880","N/A","BID DETAILS","","21-06-2024 12:48:44","12-07-2024 14:00:00","12-07-2024 14:30:00","6","Pending","L1 Won","L1","97902.24","N/A","N/A","82.05%","","",""
181,"GEM/2024/B/5055825","N/A","BID DETAILS","","22-06-2024 18:15:14","03-07-2024 12:00:00","03-07-2024 12:30:00","58","Pending","L1 Won","L1","N/A","N/A","N/A","N/A","","",""
182,"GEM/2024/B/5032574","N/A","BID DETAILS","","10-06-2024 17:45:38","01-07-2024 18:00:00","01-07-2024 18:30:00","50","Pending","Qualified","L3","1783875.62","N/A","N/A","1.71%","","",""
183,"GEM/2024/B/5014859","GEM/2025/R/430390","BID DETAILS","","06-06-2024 15:47:57","27-06-2024 15:00:00","27-06-2024 15:30:00","140","Pending","Qualified","N/A","N/A","N/A","N/A","N/A","","",""
184,"GEM/2024/B/4979769","N/A","BID DETAILS","","25-05-2024 16:36:04","20-06-2024 17:00:00","20-06-2024 17:30:00","126","Pending","L1 Won","L1","N/A","N/A","N/A","N/A","","",""
185,"GEM/2024/B/4978795","N/A","BID DETAILS","","13-06-2024 11:26:38","04-07-2024 15:00:00","04-07-2024 15:30:00","1","Pending","Qualified","L3","192414.34","N/A","N/A","3.75%","","",""
186,"GEM/2024/B/4965952","N/A","BID DETAILS","","27-05-2024 17:14:42","10-06-2024 11:00:00","10-06-2024 11:30:00","33","Pending","L1 Won","L1","N/A","N/A","N/A","N/A","","",""
187,"GEM/2024/B/4956944","N/A","BID DETAILS","","18-05-2024 15:12:37","28-05-2024 16:00:00","28-05-2024 16:30:00","114","Pending","Qualified","N/A","N/A","N/A","N/A","N/A","","",""
188,"GEM/2024/B/4898498","N/A","BID DETAILS","","29-04-2024 18:51:00","27-05-2024 09:00:00","27-05-2024 09:30:00","305","Pending","Qualified","N/A","N/A","N/A","N/A","N/A","","",""
189,"GEM/2024/B/4890183","N/A","BID DETAILS","","25-04-2024 17:38:32","06-05-2024 18:00:00","06-05-2024 18:30:00","64","Pending","Qualified","N/A","N/A","N/A","N/A","N/A","","",""
190,"GEM/2024/B/4879419","N/A","BID DETAILS","","13-05-2024 14:50:12","28-05-2024 11:00:00","28-05-2024 11:30:00","18","Pending","Qualified","L4","418278.14","N/A","N/A","8.35%","","",""
191,"GEM/2024/B/4845550","N/A","BID DETAILS","","08-04-2024 13:59:50","25-04-2024 16:00:00","25-04-2024 16:30:00","20","Pending","L1 Won","L1","N/A","N/A","N/A","N/A","","",""
192,"GEM/2024/B/4816728","N/A","BID DETAILS","","08-04-2024 12:51:53","29-04-2024 13:00:00","29-04-2024 13:30:00","6","Pending","L1 Won","L1","1906679.4","N/A","N/A","19.74%","","",""
193,"GEM/2024/B/4760455","N/A","BID DETAILS","","10-03-2024 18:11:15","01-04-2024 19:00:00","01-04-2024 19:30:00","87","Pending","Qualified","N/A","N/A","N/A","N/A","N/A","","",""
194,"GEM/2024/B/4720093","N/A","BID DETAILS","","01-03-2024 17:39:14","12-03-2024 10:00:00","12-03-2024 10:30:00","3","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
195,"GEM/2024/B/4693072","GEM/2024/R/328163","BID DETAILS","","28-02-2024 11:34:15","18-03-2024 18:00:00","18-03-2024 18:30:00","64","Pending","Qualified","N/A","N/A","N/A","N/A","N/A","","",""
196,"GEM/2024/B/4677044","GEM/2024/R/338571","BID DETAILS","","22-02-2024 17:52:08","14-03-2024 18:00:00","14-03-2024 18:30:00","54","Pending","Qualified","N/A","N/A","N/A","N/A","N/A","","",""
197,"GEM/2024/B/4660081","GEM/2024/R/330502","BID DETAILS","","19-02-2024 18:12:09","29-02-2024 19:00:00","29-02-2024 19:30:00","141","Pending","Qualified","N/A","N/A","N/A","N/A","N/A","","",""
198,"GEM/2024/B/4634132","N/A","BID DETAILS","","26-02-2024 17:29:43","11-04-2024 11:00:00","11-04-2024 11:30:00","19","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
199,"GEM/2024/B/4599894","N/A","BID DETAILS","","08-02-2024 11:53:14","19-02-2024 12:00:00","19-02-2024 12:30:00","73","Pending","Disqualified","N/A","N/A","N/A","N/A","1.39%","","",""
200,"GEM/2024/B/4598663","N/A","BID DETAILS","","09-02-2024 17:30:42","01-03-2024 18:00:00","01-03-2024 18:30:00","20","Pending","Not Participated","N/A","N/A","N/A","N/A","19.78%","","",""
201,"GEM/2024/B/4595710","N/A","BID DETAILS","","09-02-2024 16:27:52","19-02-2024 17:00:00","19-02-2024 17:30:00","6","Pending","Disqualified","N/A","N/A","N/A","N/A","3.45%","","",""
202,"GEM/2024/B/4563281","N/A","Sluice Valve for Water Works P...","Ministry of RailwaysIndian Railways","01-02-2024 12:24 PM","12-02-2024 1:00 PM","","27","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
203,"GEM/2024/B/4539263","N/A","BID DETAILS","","27-01-2024 09:40:53","12-02-2024 10:00:00","12-02-2024 10:30:00","64","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
204,"GEM/2024/B/4524073","N/A","BID DETAILS","","23-01-2024 18:29:09","02-02-2024 19:00:00","02-02-2024 19:30:00","2","Pending","Not Participated","N/A","N/A","N/A","N/A","38.89%","","",""
205,"GEM/2024/B/4510066","N/A","BID DETAILS","","19-01-2024 17:46:23","29-01-2024 18:00:00","29-01-2024 18:30:00","4","Pending","Qualified","L4","179480","N/A","N/A","44.44%","","",""
206,"GEM/2024/B/4486988","N/A","BID DETAILS","","15-01-2024 17:54:22","24-02-2024 15:00:00","24-02-2024 15:30:00","4","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
207,"GEM/2024/B/4486376","N/A","BID DETAILS","","15-01-2024 16:22:46","25-01-2024 17:00:00","25-01-2024 17:30:00","117","Pending","Qualified","N/A","N/A","N/A","N/A","N/A","","",""
208,"GEM/2024/B/4485147","GEM/2024/R/373740","BID DETAILS","","16-01-2024 16:06:31","27-01-2024 14:00:00","27-01-2024 14:30:00","18","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
209,"GEM/2024/B/4480733","GEM/2024/R/350238","BID DETAILS","","24-01-2024 13:32:16","17-02-2024 15:00:00","17-02-2024 15:30:00","50","Pending","Qualified","N/A","N/A","N/A","N/A","N/A","","",""
210,"GEM/2024/B/4479199","N/A","BID DETAILS","","13-01-2024 09:56:41","23-01-2024 16:00:00","23-01-2024 16:30:00","20","Pending","Qualified","L12","63129.6","N/A","N/A","20.41%","","",""
211,"GEM/2024/B/4460512","N/A","BID DETAILS","","02-02-2024 20:14:34","23-02-2024 12:00:00","23-02-2024 12:30:00","44","Pending","Qualified","N/A","N/A","N/A","N/A","N/A","","",""
212,"GEM/2024/B/4452363","N/A","BID DETAILS","","08-01-2024 16:12:14","13-03-2024 15:00:00","13-03-2024 15:30:00","7","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
213,"GEM/2024/B/4436269","N/A","BID DETAILS","","04-01-2024 17:42:06","25-01-2024 17:00:00","25-01-2024 17:30:00","18","Pending","Qualified","N/A","N/A","N/A","N/A","N/A","","",""
214,"GEM/2024/B/4425640","N/A","BID DETAILS","","03-01-2024 11:16:10","22-01-2024 09:00:00","22-01-2024 09:30:00","5","Pending","L1 Won","L1","53134.95","N/A","N/A","2.19%","","",""
215,"GEM/2023/B/4386212","N/A","BID DETAILS","","09-01-2024 12:33:15","30-01-2024 09:00:00","30-01-2024 09:30:00","56","Pending","Qualified","N/A","N/A","N/A","N/A","N/A","","",""
216,"GEM/2023/B/4379883","N/A","BID DETAILS","","10-01-2024 17:14:58","31-01-2024 18:00:00","31-01-2024 18:30:00","335","Pending","Qualified","N/A","N/A","N/A","N/A","N/A","","",""
217,"GEM/2023/B/4318172","N/A","BID DETAILS","","09-12-2023 17:28:03","19-12-2023 18:00:00","19-12-2023 18:30:00","270","Pending","Qualified","N/A","N/A","N/A","N/A","N/A","","",""
218,"GEM/2023/B/4310096","GEM/2024/R/296063","BID DETAILS","","15-12-2023 11:32:25","05-01-2024 12:00:00","05-01-2024 12:30:00","43","Pending","L1 Won","L1","N/A","N/A","N/A","N/A","","",""
219,"GEM/2023/B/4309262","N/A","BID DETAILS","","18-01-2024 13:22:28","08-02-2024 14:00:00","08-02-2024 14:30:00","12","Pending","Disqualified","N/A","N/A","N/A","N/A","N/A","","",""
220,"GEM/2023/B/4275540","N/A","BID DETAILS","","02-01-2024 10:02:29","23-01-2024 18:00:00","23-01-2024 18:30:00","","Pending","Not Participated","N/A","N/A","N/A","N/A","13.05%","","",""
221,"GEM/2023/B/4240193","GEM/2024/R/340693","BID DETAILS","","05-12-2023 10:38:05","26-12-2023 11:00:00","26-12-2023 11:30:00","176","Pending","Qualified","N/A","N/A","N/A","N/A","N/A","","",""
